Canonical Ids,Sub Category,Title,URL,Readers
d48f0fd0-6cff-11df-a2b2-0026b95e3eb7,Cellular Biology,"""Stemness"": transcriptional profiling of embryonic and adult stem cells.",stemness-transcriptional-profiling-of-embryonic-and-adult-stem-cells,12
3d3fc060-6d00-11df-a2b2-0026b95e3eb7,Botany,( MONILOPHYTES ) WITH A FOCUS ON THE EARLY,phylogeny-and-evolution-of-ferns-monilophytes-with-a-focus-on-the-early-leptosporangiate-divergences,10
bba032f0-6d00-11df-a2b2-0026b95e3eb7,Soil Sciences,13 C and 15 N in microarthropods reveal little response of Douglas-fir ecosystems to climate change,c13-and-n15-in-microarthropods-reveal-little-response-of-douglasfir-ecosystems-to-climate-change,2
5000b820-6d06-11df-afb8-0026b95d30b2,Limnology,15 years of pond assessment in Britain: results and lessons learned from the work of Pond Conservation,15-years-pond-assessment-britain-results-lessons-learned-work-pond-conservation,4
71a9d3a0-2253-11e0-ba94-0024e8453de6,Biometry,"2008 Project Completion Report 1 Effect of Groundwater Inflow on Distribution of Lampricide and on Survival of Sea Lamprey Larvae during a Stream Treatment by : Hammond Bay Biological Station , Department of Public Health Project completion reports of Com",2008-project-completion-report-1-effect-groundwater-inflow-distribution-lampricide-survival-sea-lamprey-larvae-during-stream-treatment-hammond-bay-biological-station-department-public-health-project-completion-reports-com,1
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Biochemistry,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,23
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Bioinformatics,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,22
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Biophysics,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,9
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Biotechnology,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,14
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Cellular Biology,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,48
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Genetics,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,19
d8e52380-6cff-11df-a2b2-0026b95e3eb7,Molecular Biology,2011: the immune hallmarks of cancer,the-hallmarks-of-cancer,34
a0ddf5a0-6d01-11df-a2b2-0026b95e3eb7,Virology,25 years of HIV.,25-years-of-hiv,5
ec188680-2e70-11e0-bce8-0024e8453de6,Ichthyology,3 . LIST OF SPECIES BY MAJOR FISHING AREAS,fao-species-catalogue-fishery-purposes-1-list-species-major-fishing-areas,6
ad780390-6d02-11df-a2b2-0026b95e3eb7,Veterinary Science,3D kinematics of the equine metacarpophal- angeal joint at walk and trot,3d-kinematics-of-the-equine-metacarpophal-angeal-joint-at-walk-and-trot-1,3
003ea0e0-6d06-11df-a2b2-0026b95e3eb7,Mycology,454 Pyrosequencing analyses of forest soils reveal an unexpectedly high fungal diversity.,454-pyrosequencing-analyses-of-forest-soils-reveal-an-unexpectedly-high-fungal-diversity,3
0c6c2a00-6d0a-11df-a2b2-0026b95e3eb7,Algology,8000-year history of palaeoproductivity in a large boreal lake,8000year-history-of-palaeoproductivity-in-a-large-boreal-lake,2
aa3e4290-fe50-11df-95f0-0024e8453de6,Biochemistry,A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus.,bacterium-grow-using-arsenic-instead-phosphorus,22
aa3e4290-fe50-11df-95f0-0024e8453de6,Biophysics,A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus.,bacterium-grow-using-arsenic-instead-phosphorus,14
aa3e4290-fe50-11df-95f0-0024e8453de6,Microbiology,A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus.,bacterium-grow-using-arsenic-instead-phosphorus,32
aa3e4290-fe50-11df-95f0-0024e8453de6,Molecular Biology,A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus.,bacterium-grow-using-arsenic-instead-phosphorus,24
7264ce30-6d04-11df-a2b2-0026b95e3eb7,Miscellaneous,A basal dromaeosaurid and size evolution preceding avian flight.,a-basal-dromaeosaurid-and-size-evolution-preceding-avian-flight,3
167d75c0-6d01-11df-a2b2-0026b95e3eb7,Miscellaneous,A biodiversity intactness index.,a-biodiversity-intactness-index,3
c0c46c10-6d00-11df-a2b2-0026b95e3eb7,Marine Biology,A biogeographic analysis and review of the far eastern Pacific coral reef region,a-biogeographic-analysis-and-review-of-the-far-eastern-pacific-coral-reef-region,14
ea8ae410-6d01-11df-a2b2-0026b95e3eb7,Biophysics,A biomolecular force field based on the free enthalpy of hydration and solvation: the GROMOS force-field parameter sets 53A5 and 53A6.,a-biomolecular-force-field-based-on-the-free-enthalpy-of-hydration-and-solvation-the-gromos-forcefield-parameter-sets-53a5-and-53a6,11
31db56d0-6d00-11df-a2b2-0026b95e3eb7,Cellular Biology,A bivalent chromatin structure marks key developmental genes in embryonic stem cells.,a-bivalent-chromatin-structure-marks-key-developmental-genes-in-embryonic-stem-cells,11
31db56d0-6d00-11df-a2b2-0026b95e3eb7,Molecular Biology,A bivalent chromatin structure marks key developmental genes in embryonic stem cells.,a-bivalent-chromatin-structure-marks-key-developmental-genes-in-embryonic-stem-cells,13
956ab470-6d00-11df-a2b2-0026b95e3eb7,Entomology,A brief history of forensic entomology.,a-brief-history-of-forensic-entomology,12
93df5220-6d03-11df-a2b2-0026b95e3eb7,Immunology,A cell biological view of Toll-like receptor function: regulation through compartmentalization.,a-cell-biological-view-of-tolllike-receptor-function-regulation-through-compartmentalization,13
350f7fc0-6d00-11df-afb8-0026b95d30b2,Virology,A cellular restriction dictates the permissivity of nondividing monocytes/macrophages to lentivirus and gammaretrovirus infection.,a-cellular-restriction-dictates-the-permissivity-of-nondividing-monocytesmacrophages-to-lentivirus-and-gammaretrovirus-infection,4
ecf254e0-6d06-11df-afb8-0026b95d30b2,Molecular Biology,A chromatin landmark and transcription initiation at most promoters in human cells.,a-chromatin-landmark-and-transcription-initiation-at-most-promoters-in-human-cells-1,20
5fd20b00-6d01-11df-a2b2-0026b95e3eb7,Botany,A classification for extant ferns,a-classification-for-extant-ferns,7
c6f98840-8362-11df-aedb-0024e8453de8,Molecular Biology,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.,codingindependent-function-gene-pseudogene-mrnas-regulates-tumour-biology-50,13
3123f0e0-6d04-11df-a2b2-0026b95e3eb7,Virology,A combined computational and microarray-based approach identifies novel microRNAs encoded by human gamma-herpesviruses.,a-combined-computational-and-microarraybased-approach-identifies-novel-micrornas-encoded-by-human-gammaherpesviruses,4
ef5547f0-6d02-11df-a2b2-0026b95e3eb7,Animal Physiology,A command chemical triggers an innate behavior by sequential activation of multiple peptidergic ensembles.,a-command-chemical-triggers-an-innate-behavior-by-sequential-activation-of-multiple-peptidergic-ensembles,4
34d81c10-6d00-11df-a2b2-0026b95e3eb7,Microbiology,A common mechanism of cellular death induced by bactericidal antibiotics.,a-common-mechanism-of-cellular-death-induced-by-bactericidal-antibiotics,17
42164eb0-6d00-11df-a2b2-0026b95e3eb7,Plant Sciences,A comparative analysis of pollen limitation in flowering plants,a-comparative-analysis-of-pollen-limitation-in-flowering-plants,12
7b68d660-6d00-11df-a2b2-0026b95e3eb7,Soil Sciences,A Comparative Analysis of Soil Fauna Populations and Their Role in Decomposition Processes,a-comparative-analysis-of-soil-fauna-populations-and-their-role-in-decomposition-processes,2
57851aa0-6d01-11df-a2b2-0026b95e3eb7,Limnology,A comparative study of the dispersal of 10 species of stream invertebrates,a-comparative-study-of-the-dispersal-of-10-species-of-stream-invertebrates,4
6bd82410-6d07-11df-afb8-0026b95d30b2,Parasitology,A comparison between mitochondrial DNA and the ribosomal internal transcribed regions in prospecting for cryptic species of platyhelminth parasites.,a-comparison-between-mitochondrial-dna-and-the-ribosomal-internal-transcribed-regions-in-prospecting-for-cryptic-species-of-platyhelminth-parasites,3
6b2e9a70-6d03-11df-a2b2-0026b95e3eb7,Veterinary Science,A comparison of extradural and intravenous methadone on intraoperative isoflurane and postoperative analgesia requirements in dogs.,a-comparison-of-extradural-and-intravenous-methadone-on-intraoperative-isoflurane-and-postoperative-analgesia-requirements-in-dogs,3
4bd0f120-6d06-11df-a474-0026b95e3e23,Veterinary Science,A comparison of ketamine-midazolam and ketamine-medetomidine combinations for induction of anaesthesia in rabbits.,comparison-ketaminemidazolam-ketaminemedetomidine-combinations-induction-anaesthesia-rabbits,3
38e9f6a0-6d07-11df-afb8-0026b95d30b2,Animal Physiology,"A comparison of the gill physiology of two euryhaline crab species, Callinectes sapidus and Callinectes similis: energy production, transport-related enzymes and osmoregulation as a function of acclimation salinity",a-comparison-of-the-gill-physiology-of-two-euryhaline-crab-species-callinectes-sapidus-and-callinectes-similis-energy-production-transportrelated-enzymes-and-osmoregulation-as-a-function-of-acclimation-salinity,3
035ced50-6d05-11df-a2b2-0026b95e3eb7,Virology,A comparison of viral RNA-dependent RNA polymerases.,a-comparison-of-viral-rnadependent-rna-polymerases,4
947e86e0-f0ae-11df-a785-0024e8453de6,Soil Sciences,A comprehensive approach to soil-atmosphere trace-gas flux estimation with static chambers,comprehensive-approach-soilatmosphere-tracegas-flux-estimation-static-chambers,2
5bfd7c00-6d04-11df-afb8-0026b95d30b2,Bioinformatics,A comprehensive catalogue of somatic mutations from a human cancer genome.,comprehensive-catalogue-somatic-mutations-human-cancer-genome,26
07795030-6d01-11df-a2b2-0026b95e3eb7,Botany,A comprehensive framework for global patterns in biodiversity,a-comprehensive-framework-for-global-patterns-in-biodiversity,8
07795030-6d01-11df-a2b2-0026b95e3eb7,Zoology and Animal Science,A comprehensive framework for global patterns in biodiversity,a-comprehensive-framework-for-global-patterns-in-biodiversity,14
5abf68a0-6d02-11df-a2b2-0026b95e3eb7,Entomology,A comprehensive phylogenetic analysis of termites (Isoptera) illuminates key aspects of their evolutionary biology.,a-comprehensive-phylogenetic-analysis-of-termites-isoptera-illuminates-key-aspects-of-their-evolutionary-biology,7
